MP RP,IFPA RP,IPR,Name,Team,Role,IFPA ID,IFPA Rank,MP LB,MP RD,MPR
4,2,4,Keenan Goodall,HHS,P,37362,2926,1470,44,1558
2,1,2,Keith Wolfe,,,6411,5554,1301,93,1487
4,2,4,Kellan Kirkland,TWC,P,41039,2778,1461,51,1562
3,2,3,Kellan Smith,,,13738,4929,1370,78,1527
1,1,1,Kelsey Myers,,,,,,,
2,1,2,Kelsie Sherman Hall,,,48487,6667,1332,68,1469
1,1,1,Ken Dean,,,,,1220,91,1402
6,1,6,Kevin Birrell,CDC,P,,,1613,51,1715
4,2,4,Kevin Lessig,DSV,P,609,4635,1494,48,1590
3,1,3,Kirk Zehrung,CPO,P,58131,9665,1428,54,1537
1,1,1,Kirsten Wohlrab,,,21132,,1250,125,1500
1,1,1,Kolby Krie,CPO,P,42216,16105,1188,61,1309
1,1,1,Kordell Roberts,ALU,P,,,,,
2,2,2,Kylie Waibel,TWC,P,35662,4059,1305,43,1391
2,1,2,Laura Bodine,NLT,P,42813,13141,1278,59,1397
3,1,3,Laura Hale,,,20392,5994,1417,59,1536
1,1,1,Lauren Aiello,DIH,P,47061,5881,1255,53,1361
4,3,4,Lauren Aquino,DSV,A,27227,1470,1503,37,1578
2,1,2,Lauren Shepherd,KNR,P,9403,6436,1295,50,1395
2,1,2,Lawrence Campbell,TBT,P,52722,7497,1334,43,1420
3,1,3,Lefty Sitaras,,,26328,6926,1395,42,1478
1,1,1,Lenny Jackson,,,53107,21825,1113,109,1330
1,1,1,Lester Mass,,,,,1168,112,1392
1,1,1,Lilly Belle,,,,,1245,90,1425
1,1,1,Lina Davidson,,,56705,,1244,104,1452
3,1,3,Lucas Arias,DTP,P,48190,5256,1406,38,1482
1,1,1,Lucy Hoffman,DIH,P,48642,11969,1243,52,1347
1,1,1,Luke Bullert,,,,,1176,118,1412
3,3,3,Luke Camarda,TWC,P,19497,2243,1413,44,1500
1,1,1,Lyn Cason,,,47538,12239,1233,69,1371
1,1,1,Mackenzie Meinhordt,,,53106,18502,1250,125,1500
1,1,1,Maia Williams,,,,,1219,99,1417
5,6,6,Maka Honig,JMF,P,3238,84,1604,33,1670
2,1,2,Mandie Moore,CRA,P,38315,8271,1323,58,1439
1,1,1,Marilyn Braighboy,,,24744,20566,1194,83,1359
3,2,3,Mark Daddy,,,45886,4351,1374,44,1461
3,1,3,Mark Demmel,,,49098,12450,1439,56,1551
3,1,3,Mark McClure,CDC,A,27323,7953,1366,52,1471
1,1,1,Mark Rueter,,,45913,32767,1085,108,1301
3,3,3,Mark Williams WA,,,17702,2475,1431,87,1605
4,1,4,Mark Wistrom,,,,,1474,41,1556
1,1,1,Mary Quinn,,,,,1128,106,1340
5,4,5,Matt Anderson,SWL,A,23996,697,1557,32,1620
5,2,5,Matt Bollinger,PBR,P,20059,3240,1567,50,1668
4,3,4,Matt Cohn,,,6823,2299,1481,84,1648
5,3,5,Matt Galbraith,SJK,P,8893,2017,1549,50,1650
3,3,3,Matt Golden,SCN,P,23040,1512,1387,39,1465
3,4,4,Matt Lauro,PGN,P,19324,976,1437,37,1512
2,1,2,Matt Salmon,,,40843,12439,1288,101,1490
4,4,4,Matt Sarnoff,,,14890,512,1462,89,1640
3,3,3,Matt Slater,IBL,P,40883,1595,1379,40,1459
4,4,4,Matt Watts,PBR,P,23896,825,1473,46,1566
4,3,4,Matt Wolfe,PBR,P,16574,1839,1468,48,1564
1,1,1,Matthew Ellis,,,9363,,1250,125,1500
2,1,2,Matthew Levi Tate,DIH,P,40885,11866,1294,50,1395
1,1,1,Matthew Puvogel,,,18283,21092,1111,111,1332
4,3,4,Maureen Hendrix,FRZ,A,48099,1809,1492,34,1559
3,2,3,Max Davidoff,SSS,P,48096,2768,1422,46,1514
2,1,2,Max Levine,,,53615,23258,1260,116,1491
5,3,5,Max Stiles,JMF,C,18829,2447,1534,54,1643
3,1,3,Megan Czahar,HHS,C,56969,19267,1388,35,1458
3,3,3,Meghan West,,,31623,1845,1365,57,1480
5,4,5,Michael Adcock,SWL,C,30396,857,1522,32,1585
3,1,3,Michael Darigol,SCN,P,33167,5356,1410,44,1499
1,1,1,Michael Rausch,,,49740,9261,1204,125,1454
5,4,5,Michael Warfield,CRA,P,12360,734,1518,36,1589
3,1,3,Michael Zuino,RMS,C,56113,5402,1374,44,1461
1,1,1,Michelle Duskey,,,50037,12241,1245,102,1449
2,1,2,Michelle Jones,,,41611,13643,1318,56,1430
1,1,1,Michelle Pfeiffer,,,16802,6173,1091,112,1314
2,1,2,Miguel Ferry,,,41046,12588,1280,98,1476
4,3,4,Mika Rollin,HHS,P,24011,1056,1488,31,1551
1,1,1,Mike Cook,CDC,P,,,1196,123,1442
6,5,6,Mike Corbett WA,,,21560,150,1626,30,1686
2,1,2,Mike Morton,,,,,1257,102,1461
1,1,1,Mike Norman,,,7794,,1250,125,1500
5,5,5,Mike Pantoliano,,,22995,312,1539,45,1628
1,1,1,Mike Poetzel,,,1687,,1250,125,1500
4,2,4,Mitch Anderson,,,40841,2835,1480,75,1630
2,1,2,Molly Foster,,,49477,7303,1338,58,1453
2,1,2,Nate Cantor,JMF,P,34117,13898,1330,57,1443
1,1,1,Nate Dominguez,,,51832,8777,1229,80,1388
1,1,1,Nathan Krause,,,44839,26029,1114,125,1364
4,5,5,Nathan Stellhorn,,,10190,400,1480,52,1584
2,1,2,Nathan Tompkins,CPO,P,,,1293,102,1497
4,3,4,Neil Kubath,,,42483,1179,1495,36,1567
3,2,3,Neil Oney,FRZ,P,49363,2837,1413,37,1486
5,5,5,Nic Crowson,SCN,P,31961,414,1582,37,1656
1,1,1,Nick Bates-Benitez,CDC,P,,,1247,100,1447
2,2,2,Nick Gibson,TBT,P,39078,4103,1348,45,1437
2,3,3,Nick Pernisco,,,41581,2298,1316,45,1407
5,3,5,Nick Taseris,DTP,P,13577,1400,1516,58,1633
2,1,2,Nif Ward,RMS,A,53621,9158,1308,49,1405
4,4,4,Nigel Colbert,,,1698,500,1483,32,1547
2,1,2,Nikki Davis,CHS,P,57867,,1285,51,1388
3,1,3,Nikolai Shere,ALU,C,,,1380,67,1514
3,3,3,Nina Ricciardi,TBT,P,21367,2244,1386,55,1496
4,3,4,Nycole Hyatt,SSS,P,3271,1085,1508,47,1601
3,1,3,Oliver Kohut,IBL,P,56658,7853,1436,53,1541
2,1,2,Pat May,,,48646,18979,1311,92,1494
2,2,2,Patrick Law,,,37357,3494,1308,63,1433
3,1,3,Paul White,HHS,P,17394,9855,1385,38,1462
1,2,2,Paul Williams WA,,,17701,4569,1250,125,1500
1,1,1,Pete Mitchell,,,,,,,
2,1,2,Peter Gapinski,LLK,P,,,1259,63,1385
2,2,2,Peter Olive,,,34399,2997,1293,87,1467
3,3,3,Peter Schatzer,,,25955,1156,1439,34,1507
3,2,3,Phil Harmonic,JMF,P,24007,4423,1411,47,1505
3,1,3,Phil Piwonka,SJK,P,10819,20036,1398,58,1513
4,3,4,Philip Joupperi,PGN,P,49952,1519,1484,34,1551
2,1,2,Philip Pinette,LLK,P,16302,7729,1314,59,1433
3,1,3,Phillip Dodt,HHS,P,57702,11755,1393,49,1490
3,2,3,Rachel Helm,TWC,P,22822,3060,1384,55,1494
2,1,2,Rachel Stack,ALU,P,,,1296,76,1448
3,3,3,Ramsey Sierra,CHS,C,19493,2136,1410,50,1511
2,2,2,Randall Olson,PGN,A,35157,4125,1313,52,1418
2,2,2,Randy Huynh,RMS,P,42480,4658,1336,52,1440
6,6,6,Raymond Davidson,SJK,A,2576,2,1691,38,1767
2,1,2,Ren Logan,TBT,P,54117,7972,1333,42,1416
3,2,3,Rhett Pearson,CPO,P,30042,4869,1403,46,1494
2,1,2,Richard Pugh,CHS,P,48188,9230,1334,54,1442
2,1,2,Richard Scott,CHS,P,33171,6403,1346,57,1461
5,5,5,Richie Terry,CHS,P,41582,336,1555,37,1628
3,1,3,Rick Simpson,,,44243,16476,1387,48,1483
1,1,1,Rita Perez,,,50073,7471,1202,63,1328
1,1,1,Rob Atlas,,,21369,,1250,125,1500
4,4,4,Robbie Finnigan,KNR,C,36802,852,1479,32,1543
1,1,1,Robert Evans,,,,,,,
1,1,1,Robert Rowland,CDC,P,,,,,
4,3,4,Robin Moore,,,26409,1475,1469,38,1546
3,3,3,Rodney Olsen,,,2599,2373,1365,83,1532
1,1,1,Ryan Buma,,,,,,,
3,1,3,Ryan Henak,RMS,P,53620,6460,1409,49,1507
4,3,4,Ryan Newstrum,TWC,A,33031,1344,1476,39,1554
4,1,4,Ryan Penrod,CPO,P,51823,6407,1454,37,1527
3,2,3,Ryan Tupper,PGN,P,52563,4723,1355,34,1422
6,5,6,Sagel Frazier,SSS,P,6837,302,1605,32,1670
4,3,4,Sam Atlas,JMF,P,20534,1078,1478,45,1567
1,1,1,Sam Bury,PGN,P,,,,,
3,3,3,Sam Snyder,NLT,P,29143,2144,1410,44,1498
5,3,5,Sam Stiles,JMF,P,21061,1990,1521,47,1615
3,2,3,Sandy Magallanes,CPO,P,40794,4281,1375,42,1459
1,1,1,Sarah Decory,TBT,P,51933,27291,1142,117,1376
3,3,3,Sarah Hager,DSV,P,52617,2281,1395,34,1462
1,1,1,Sarah Ledray,SCN,P,44231,9691,1192,59,1311
2,2,2,Sean Carlson,,,22839,3096,1307,50,1406
3,1,3,Sean Detore,NLT,P,4786,5827,1393,57,1507
1,1,1,Sean Gallagher,,,52792,14063,1239,98,1435
4,3,4,Sean Irby,DTP,P,49529,2122,1469,35,1538
5,3,5,Sean Mcdonald,,,34371,1518,1578,35,1648
3,3,3,Sean Shypula,SWL,P,44544,2021,1359,42,1444
5,5,5,Sergey Posrednikov,,,9141,209,1599,29,1658
1,1,1,Shawn Chamberlain,,,24015,7041,1235,125,1485
1,1,1,Sherae Lascelles,FRZ,P,,,,,
2,2,2,Sherry Smith,DSV,P,1710,4854,1291,64,1419
2,1,2,Sid Miner,,,47266,21188,1301,95,1492
1,1,1,Skye Fleming,,,56775,16526,1228,74,1375
4,3,4,Sophie Spickard,PBR,C,25650,1318,1498,39,1577
3,1,3,Stacy Wilson,,,42233,8289,1362,67,1496
3,1,3,Stanlo Slasinski,JMF,P,40838,6966,1428,48,1524
3,2,3,Steph Hanlon,IBL,P,40884,3330,1354,47,1447
1,1,1,Stephanie Sposaro,,,39457,21072,1250,125,1500
2,1,2,Stephen Brundle,LLK,P,,,1257,68,1393
2,2,2,Stephen Rakonza,KNR,A,43772,2734,1311,53,1417
1,1,1,Stephen Rarick,,,48191,9903,1193,90,1373
4,4,4,Steven Ackley,,,2585,959,1456,49,1555
5,3,5,Steven Brewer,,,44631,1042,1588,38,1664
1,1,1,Steven Mendez,CPO,P,54914,10824,1205,65,1334
3,2,3,Stuart Young,,,38325,3530,1391,62,1514
4,2,4,Taylor Minter,NLT,A,31725,3796,1508,55,1618
1,1,1,Tenee Brockington,,,33061,11946,1204,51,1307
3,3,3,Terrence Vaccaro,,,24208,1741,1424,57,1538
1,1,1,Thom Geibel,,,46897,27970,1161,125,1411
3,2,3,Tim Collins,SWL,P,49080,3770,1390,32,1453
5,4,5,Tim McCool,DSV,P,39188,704,1547,30,1607
3,1,3,Tim Sassafrass,,,,,1355,108,1571
5,5,5,Tim Tournay,,,4139,165,1585,41,1667
4,1,4,Tim Uomoto,CRA,P,36803,5773,1454,41,1535
3,3,3,Timm Shere,,,43627,1623,1438,33,1505
3,2,3,Timothy Kitchen,IBL,P,58059,4990,1403,60,1524
1,1,1,Tj Denne,,,,,1220,107,1434
5,5,5,Todd Larsen,,,39139,492,1573,31,1636
6,6,6,Todd Rafacz,,,19478,89,1638,41,1720
1,1,1,Tomar Schell,,,54850,,1198,75,1348
3,2,3,Tony Bacus,,,14390,4526,1401,51,1503
1,1,1,Tony Mitchum,ALU,P,21365,,1250,125,1500
